year,document,word_count,page_count,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,hedging_count,commitment_count,commitment_ratio,climate_action,climate_action_per_1000_words,carbon_terminology,carbon_terminology_per_1000_words,circular_economy,circular_economy_per_1000_words,sustainability_framing,sustainability_framing_per_1000_words,compliance_language,compliance_language_per_1000_words,voluntary_leadership,voluntary_leadership_per_1000_words,science_based,science_based_per_1000_words,stakeholder_engagement,stakeholder_engagement_per_1000_words,supply_chain,supply_chain_per_1000_words,social_justice,social_justice_per_1000_words
2020,Nike_2020_Annual_Report.pdf,140742,191,0.030448275862068972,0.8444137931034481,0.1251034482758621,0.930189655172414,1207,685,0.3620507399577167,3,0.021315598755169033,0,0.0,0,0.0,87,0.6181523638999019,145,1.0302539398331698,103,0.7318355572608035,0,0.0,47,0.3339443804976482,14,0.09947279419078882,133,0.9449915448124938
2020,Nike_2020_Impact_Report.pdf,62319,125,0.031384615384615386,0.8305384615384614,0.138,0.999776923076923,161,410,0.7180385288966725,29,0.46534764678508966,39,0.6258123525730516,65,1.0430205876217526,210,3.3697588215472005,65,1.0430205876217526,132,2.1181341164010976,11,0.17651117636675814,120,1.9255764694555433,229,3.6746417625443284,168,2.6958070572377606
2021,Nike_2021_Annual_Report.pdf,332385,184,0.04095588235294117,0.8439558823529411,0.1151029411764706,0.8088161764705878,3434,1061,0.23604004449388208,16,0.04813694962167366,0,0.0,2,0.006017118702709208,214,0.6438317011898852,345,1.0379529762173383,301,0.9055763647577358,0,0.0,148,0.44526678400048136,142,0.4272154278923538,534,1.6065706936233586
2021,Nike_2021_Impact_Report.pdf,53118,184,0.03127272727272728,0.8434545454545455,0.12536363636363637,0.9995545454545457,174,161,0.48059701492537316,23,0.4329982303550586,26,0.4894762604013706,88,1.6566888813584848,119,2.240295191837042,45,0.8471704506946798,129,2.4285552919914153,16,0.30121616024699727,110,2.0708611016981058,207,3.8969840731955268,135,2.541511352084039
2022,Nike_2022_Annual_Report.pdf,265047,176,0.032407407407407406,0.8478148148148149,0.11977777777777777,0.8887814814814812,2339,1149,0.3294151376146789,18,0.06791248344633216,0,0.0,0,0.0,299,1.1281018083585175,291,1.09791848238237,185,0.6979894131984138,0,0.0,124,0.4678415526302882,174,0.6564873399812109,372,1.4035246578908647
2022,Nike_2022_Impact_Report.pdf,46030,143,0.0258,0.8249000000000001,0.14900000000000002,0.9998800000000001,123,145,0.5410447761194029,9,0.19552465783184877,19,0.4127742776450141,79,1.716271996524006,87,1.8900716923745382,33,0.7169237453834456,145,3.150119487290897,8,0.17379969585053226,118,2.5635455137953507,158,3.432543993048012,135,2.932869867477732
2023,Nike_2023_Annual_Report.pdf,56771,106,0.04775000000000001,0.8438333333333334,0.10825,0.8321833333333334,731,137,0.1578341013824885,9,0.1585316446777404,0,0.0,0,0.0,18,0.3170632893554808,74,1.3034824117947545,24,0.4227510524739744,0,0.0,17,0.2994486621690652,21,0.3699071709147276,36,0.6341265787109616
2023,Nike_2023_Impact_Report.pdf,70463,210,0.024800000000000006,0.8508666666666667,0.12446666666666668,0.99952,224,151,0.4026666666666667,22,0.3122205980443637,20,0.2838369073130579,61,0.8657025673048266,137,1.9442828150944467,46,0.6528248868200331,184,2.6112995472801326,18,0.25545321658175213,123,1.7455969799753064,283,4.016292238479769,168,2.3842300214296865
2024,Nike_2024_Annual_Report.pdf,58290,106,0.05175000000000001,0.8433333333333334,0.10508333333333335,0.83245,725,148,0.16953035509736541,10,0.171556013038257,0,0.0,0,0.0,21,0.3602676273803397,83,1.4239149082175329,25,0.42889003259564246,0,0.0,15,0.2573340195573855,21,0.3602676273803397,35,0.6004460456338995
2024,Nike_2024_Sustainability_Data.pdf,19327,52,0.028000000000000004,0.90225,0.06975,0.9994000000000001,81,16,0.16494845360824742,4,0.2069643503906452,5,0.25870543798830653,8,0.4139287007812904,132,6.829823562891292,22,1.1383039271485487,47,2.4318311170900815,16,0.8278574015625808,13,0.6726341387695969,114,5.898483986133389,19,0.9830806643555648
