year,document,page,category,keyword,sentence,extracted_numbers,commitment_strength,contains_timeline,contains_percentage
2020,Nike_2020_Annual_Report.pdf,3,social,health and safety,"We focused  
first on the health and safety of our teammates, our consumers and the 
communities in which we operate","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,6,social,diversity,"This has resulted in increased gender diversity, 
lowered average age and moderated tenure, ushering in new, fresh perspectives, 
experiences, and expertise to our boardroom","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,6,social,diversity,"This has 
resulted in increased gender diversity, lowered average age and moderated tenure, ushering in 
new, fresh perspectives, experiences, and expertise to our boardroom","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,7,social,diversity,"This has resulted in increased gender diversity, 
lowered average age and moderated tenure, ushering in new, fresh perspectives, 
experiences, and expertise to our boardroom","{'percentages': [], 'years': [], 'other_numbers': []}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,12,social,diversity,"BOARD OF DIRECTORS
BOARD OVERVIEW
Our Board is currently comprised of twelve individuals selected on the basis of numerous criteria, including experience and 
achievements; fields of significant knowledge; good character; sound judgment; and diversity","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,12,social,diversity,"GENDER DIVERSITY GENDER/ETHNIC DIVERSITY AGE TENURE
BOARD SKILLS, EXPERIENCES, AND QUALIFICATIONS
DIVERSITY 6/12
Gender or ethnic diversity that adds a 
range of perspectives and expands the 
Board’s understanding of the needs and 
viewpoints of consumers, employees, and 
other stakeholders worldwide","{'percentages': [], 'years': [], 'other_numbers': ['6', '12']}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,13,social,diversity,"BOARD OF DIRECTORS
BOARD OVERVIEW
Our Board is currently comprised of twelve individuals selected on the basis of numerous criteria, including experience and 
achievements; fields of significant knowledge; good character; sound judgment; and diversity","{'percentages': [], 'years': [], 'other_numbers': []}",strong,False,False
2020,Nike_2020_Annual_Report.pdf,13,social,diversity,"GENDER DIVERSITY GENDER/ETHNIC DIVERSITY AGE TENURE
BOARD SKILLS, EXPERIENCES, AND QUALIFICATIONS
DIVERSITY 6/12
Gender or ethnic diversity that adds a 
range of perspectives and expands the 
Board’s understanding of the needs and 
viewpoints of consumers, employees, and 
other stakeholders worldwide","{'percentages': [], 'years': [], 'other_numbers': ['6', '12']}",moderate,False,False
2020,Nike_2020_Annual_Report.pdf,14,social,diversity,"BENKO
AGE DIRECTOR SINCE COMMITTEEOTHER CURRENT
PUBLIC DIRECTORSHIPS FAVORITE NIKE PRODUCT(S)
62 2018 Compensation None Converse All Star Platform
Low Top and Nike AeroLayer
Jacket
SKILLS, EXPERIENCES AND QUALIFICATIONS
DIVERSITY DIGITAL/TECHNOLOGY HR/TALENT MANAGEMENT
INTERNATIONAL
Ms","{'percentages': [], 'years': [2018], 'other_numbers': ['62', '2018']}",moderate,True,False
2020,Nike_2020_Annual_Report.pdf,14,social,inclusion,"Benko held multiple technology and talent
management roles, including serving as the company’s first Vice Chairman and Chief Talent Officer from 2006 to 2010, its
Chief Inclusion Officer from 2008 to 2010, and as Managing Principal, Initiative for the Retention and Advancement of Women,
from 2003 to 2009","{'percentages': [], 'years': [2006, 2010, 2008, 2010, 2003, 2009], 'other_numbers': ['2006', '2010', '2008', '2010', '2003', '2009']}",moderate,True,False
