file,year,page,theme,term,quote,path
FY21_NIKE-Impact-Report.pdf,2021,125,water,\bwastewater\b,"January 1, 2024. In FY21, we started training suppliers. We collaborated with DuPont Water Solutions to provide four 8-hour, online training sessions on ultrafiltration and reverse osmosis. Two sessions were held in English, one in Mandarin and one in Vietnamese ...",2021/FY21_NIKE-Impact-Report.pdf
FY21_NIKE-Impact-Report.pdf,2021,137,climate,\bscope\s*3\b,"continue reporting annual progress toward our social and environmental targets and priority issues. We have obtained external assurance on select reported metrics, including energy consumption and renewable electricity use in owned or operated facilities; Scope 1 and 2 greenhouse gas ...",2021/FY21_NIKE-Impact-Report.pdf
FY21_NIKE-Impact-Report.pdf,2021,151,climate,\bscope\s*2\b,"cluding transportation fuels. Emissions data for HFCs, PFCs and SF 6 are not reported. NIKE has phased out SF 6 and therefore doesn’t have SF 6 emissions. Emissions for other greenhouse gases are either not relevant, immaterial, or data is ...",2021/FY21_NIKE-Impact-Report.pdf
FY21_NIKE-Impact-Report.pdf,2021,152,climate,\bscope\s*2\b,"Electricity Consumption (MWh) and Scope 2 Emissions (Metric Tons CO 2e) FY20 FY21 Air MI Grid Electricity (MWh) 94,290 86,885 Location-Based (Metric Tons CO 2e) 46,059 42,151 Market-Based (Metric Tons CO 2e) 19,494 2,155 Distribution Centers Total Electricity (MWh) 191,711 ...",2021/FY21_NIKE-Impact-Report.pdf
FY21_NIKE-Impact-Report.pdf,2021,166,climate,\bGHG Protocol\b,sion Source Emission Source Type Emission Factor Employed Scope 1 Natural Gas GHG Protocol Emission Factors from Cross-Sector Tools March 2017 Scope 1 Hi-sene GHG Protocol Emission Factors from Cross-Sector Tools March 2017 Scope 1 Diesel GHG Protocol Emission Factors ...,2021/FY21_NIKE-Impact-Report.pdf
FY21_NIKE-Impact-Report.pdf,2021,176,climate,\bscope\s*1\b,oach103-1 Explanation of the material topic and its BoundariesIssue Prioritization: pages 138–141 Carbon: pages 84–103 103-2 The management approach and its componentsCarbon: pages 84–103 103-3 Evaluation of the management approachCarbon: pages 84–103 PwC Assurance Report: page 159 GRI 305: Emissions305-1 ...,2021/FY21_NIKE-Impact-Report.pdf
FY22-NIKE-Inc.-Impact-Report-compressed-1.pdf,2022,105,water,\bwastewater\b,r part to reduce their freshwater use. We collaborated with suppliers to establish freshwater reduction-targets that will help us reach our 2025 target. 3 Build Capability among suppliers so they are executing their freshwater- reduction targets using generally accepted best ...,2022/FY22-NIKE-Inc.-Impact-Report-compressed-1.pdf
NikeInc_2022_Annual_Report.pdf,2022,62,product,\btraceab\w*\b,"exit the region.5 Nike's long leadership in supply chain transparency is evidenced by its manufacturing map, robust policies, and industry collaboration. The company has acknowledged concerns regarding reports of forced labor in the Uyghur Region, stated it does not directly ...",2022/NikeInc_2022_Annual_Report.pdf
FY23_Nike_Impact_Report.pdf,2023,16,climate,\bscope\s*3\b,"th the SEC.In addition, climate-related science, data and methodologies are rapidly evolving; those underlying our climate-related analysis and strategy remain subject to evolution over time. For example, we believe the methodology of carbon accounting will continue to improve over time, ...",2023/FY23_Nike_Impact_Report.pdf
FY23_Nike_Impact_Report.pdf,2023,92,climate,\bscope\s*1\b,"reduction goal, we will focus on increasing use of EPMs, helping factories convert to use of more renewable energy and working across industries to accelerate decarbonization of fuels, packaging and other components of the value chain necessary to produce, move ...",2023/FY23_Nike_Impact_Report.pdf
FY23_Nike_Impact_Report.pdf,2023,182,climate,\bscope\s*3\b,y travel provider for all employees across 45 countries. Trips that are not booked through NIKE’s third party travel provider are not reflected in reported data. This is estimated to be 4%. Commercial air travel emissions are estimated based on ...,2023/FY23_Nike_Impact_Report.pdf
FY23_Nike_Impact_Report.pdf,2023,182,climate,\bscope\s*3\b,SCOPE 3 EMISSIONS: TRAVEL & LOGISTICS SCOPE SCOPE DESCRIPTION Commercial travel Data represents commercial business air travel booked through NIKE’s third party travel provider for all employees across 45 countries. Trips that are not booked through NIKE’s third party travel ...,2023/FY23_Nike_Impact_Report.pdf
FY23_Nike_Impact_Report.pdf,2023,183,climate,\bscope\s*2\b,"(kWh per square foot of known FY23 NIKE electricity usage in retail or non-HQ offices). In FY23, approximately 53% of retail electricity consumption, and approximately 22% of office electricity consumption, were estimated. 100% of reported retail Scope 2 market-based emissions ...",2023/FY23_Nike_Impact_Report.pdf
"FY24_NIKE,-Inc.-Sustainability-Data.pdf",2024,12,climate,\bscope\s*1\b,"Reporting Approach Management Assertion Assurance SASB GRI Data FY24 NIKE, Inc. Sustainability Data12 FY24 Emissions Summary (Metric Tons CO2e) Scope 1, 2, and 333 EMISSIONS EMISSIONS (%) Scope 1 57,390340.69% Scope 2 (market-based emissions) 12,120340.15% Scope 3 8,196,965 99.16% Total ...","2024/FY24_NIKE,-Inc.-Sustainability-Data.pdf"
"FY24_NIKE,-Inc.-Sustainability-Data.pdf",2024,35,climate,\bscope\s*1\b,"nsumption data. Estimates are described in more detail below. Reported data has been rounded to the nearest whole number. Estimation Methodology Estimation methodologies employ reasonable assumptions to avoid understating NIKE’s emissions footprint and are described below. In FY24, approximately 60% ...","2024/FY24_NIKE,-Inc.-Sustainability-Data.pdf"
