file,path,year,page,theme,term,quote
386273(1)_20_Nike-Inc_Combo_WR.pdf,2021/386273(1)_20_Nike-Inc_Combo_WR.pdf,2021,16,product,\btraceab\w*\b,"cluding: •Vice President, Worldwide Enterprise Group in 1999, •Chief Information Officer from 1996 to 1999, and •Corporate Controller from 1994 to 1996. Mr. Connors is a member of the Board of Directors of privately held companies ICERTIS, Inc., Tempered Networks ..."
386273(1)_20_Nike-Inc_Combo_WR.pdf,2021/386273(1)_20_Nike-Inc_Combo_WR.pdf,2021,17,product,\btraceab\w*\b,"cluding: •Vice President, Worldwide Enterprise Group in 1999, •Chief Information Officer from 1996 to 1999, and •Corporate Controller from 1994 to 1996. Mr. Connors is a member of the Board of Directors of privately held companies ICERTIS, Inc., Tempered Networks ..."
386273(1)_20_Nike-Inc_Combo_WR.pdf,2021/386273(1)_20_Nike-Inc_Combo_WR.pdf,2021,64,product,\btraceab\w*\b,"rs of BCI, through serving on the board of Textile Exchange, and by working with and within our industry—to develop best practices and an approach to sourcing raw materials responsibly, protecting human rights and reducing our environmental impact. While NIKE ..."
386273(1)_20_Nike-Inc_Combo_WR.pdf,2021/386273(1)_20_Nike-Inc_Combo_WR.pdf,2021,64,product,\btraceab\w*\b,"esponsibly, protecting human rights and reducing our environmental impact. While NIKE does not directly source cotton, or other raw materials, traceability at the raw materials level is an area of ongoing focus. We are working closely with our suppliers, industry ..."
386273(1)_20_Nike-Inc_Combo_WR.pdf,2021/386273(1)_20_Nike-Inc_Combo_WR.pdf,2021,65,product,\btraceab\w*\b,"rs of BCI, through serving on the board of Textile Exchange, and by working with and within our industry—to develop best practices and an approach to sourcing raw materials responsibly, protecting human rights and reducing our environmental impact. While NIKE ..."
386273(1)_20_Nike-Inc_Combo_WR.pdf,2021/386273(1)_20_Nike-Inc_Combo_WR.pdf,2021,65,product,\btraceab\w*\b,"esponsibly, protecting human rights and reducing our environmental impact. While NIKE does not directly source cotton, or other raw materials, traceability at the raw materials level is an area of ongoing focus. We are working closely with our suppliers, industry ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,7,climate,\bscope\s*3\b,Carbon footprint of a shoe 2010 Pay equity disclosure SASB Summary Tier 2 suppliers disclosure 20182019 Transition to annual reporting Science-Based Targets commitment External validation of data (carbon) Formal multi- stakeholder feedback on reporting First GRI Index 20052012 Meta trend ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,14,climate,\bscope\s*1\b,"s or lawful permanent residents. *A “diverse person” may be defined as a minority**, woman, disabled, LGBTQ and/or veteran. **Minority defined as African-American, Hispanic, Asian-American, Native-American, Pacific Islander or other types of ethnic minorities here in the United States. 14 ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,69,water,\bwastewater\b,he Data Appendix of this report. More Data Audit and worker data Worker count Audit countAll NIKE 94Tier 2 0Tier 1 94DC 0Air MI 0 FY20 FY21Target 100% -9 p.p. since FY20 All NIKE 85Tier 2 59Tier 1 92DC 0Air ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,84,climate,\bnet\s*zero\b,"CARBONFocus Area To help protect the future for athletes• everywhere, everyone needs to do their part in keeping global warming below 1.5°C. To do that, the world’s GHG emissions need to be cut by half this decade, and we need ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,84,climate,\bnet\s*zero\b,"w 1.5°C. To do that, the world’s GHG emissions need to be cut by half this decade, and we need to reach net zero by 2050. At our scale, it’s an ambitious goal, and many of our toughest challenges still ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,85,climate,\bnet\s*zero\b,"The Path to Net Zero Science-Based TargetsFY20 FY155MMetric tons CO 2e 10M15M20M FY25 FY30 FY50Current Plan Future Plan FY25 TargetsBY 2050, WE AIM TO REACH NET ZEROBY 2030, WE AIM TO HIT OUR SCIENCE-BASED TARGETS• Nike commits to RE:100 • ..."
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,85,climate,\bnet\s*zero\b,rogram • Air freight reduction • No rush shippingBuilding on current plans and increasing focus on: • Converting to environmentally preferred materials • Converting factories to renewable energy • Working across industry to accelerate progress Projected emissions without mitigation 2030 ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,85,climate,\bscope\s*1\b,current plans and increasing focus on: • Converting to environmentally preferred materials • Converting factories to renewable energy • Working across industry to accelerate progress Projected emissions without mitigation 2030 Science-Based Targets Net Zero TargetScope 1 & 2 Target: -65% ...
FY21_NIKE-Impact-Report.pdf,2021/FY21_NIKE-Impact-Report.pdf,2021,85,climate,\bscope\s*3\b,shippingBuilding on current plans and increasing focus on: • Converting to environmentally preferred materials • Converting factories to renewable energy • Working across industry to accelerate progress Projected emissions without mitigation 2030 Science-Based Targets Net Zero TargetScope 1 & 2 ...
